Artist,Streams,Daily Streams,Genre,Release Year,Peak Position,Weeks on Chart,Lyrics Sentiment,TikTok Virality,Danceability,Acousticness,Energy,Cluster
Aurora Soundwave,308977444.0,1684031.0,Country,2011.9999999999998,35.0,3.0,-0.24,10.0,0.84,0.03,0.35,1
DJ Thunder,240456959.0,1664114.0,Country,2023.0,70.0,35.0,0.8199999999999998,4.0,0.82,0.01,0.71,1
Neon Vortex,134520428.0,4795581.0,Synthwave,1994.0,14.000000000000002,49.0,-0.87,47.0,0.92,0.92,0.63,0
ElectroPulse,530356705.0,3623770.0,Lo-Fi,1990.0,89.0,50.0,0.27,78.0,0.54,0.37,0.61,0
Jay Zenith,657422901.0,1580499.0,Reggae,2009.9999999999998,18.0,27.0,-0.16000000000000003,32.0,0.33,0.14,0.78,0
Urban Rhapsody,641699919.0,4853080.0,Pop,2001.0,56.00000000000001,45.0,0.17999999999999994,61.0,0.4,0.76,0.9800000000000001,0
Sofia Carter,451921318.0,938475.0,Reggae,1991.0,72.0,53.00000000000001,-0.64,26.0,0.76,0.73,1.0,0
Horizon Flow,209005746.00000003,3526352.0000000005,Metal,2011.0,85.0,37.0,0.08000000000000007,70.0,0.8999999999999999,0.12,0.14,0
EchoSync,721673826.0,3012331.0,Pop,2003.0,83.0,2.0,-0.53,21.0,0.39,0.16,0.83,0
Neon Vortex,138740783.0,3678095.0,Techno,2000.0,10.0,83.0,-0.33000000000000007,42.0,0.29,0.48,0.87,0
Neon Vortex,439380841.0,1403641.0,Techno,2013.0,35.0,92.0,0.8599999999999999,41.0,0.83,0.61,0.9800000000000001,0
Samantha Lee,413657673.99999994,900359.0000000001,Latin,1994.0,60.0,2.0,0.81,10.0,0.32,0.64,0.2,0
ElectroPulse,750438463.0,980269.0,Lo-Fi,1998.0,77.0,58.0,-0.39,47.0,0.17,0.84,0.92,0
Horizon Flow,202480088.0,191022.00000000003,Lo-Fi,1997.0,49.0,46.0,0.9199999999999999,96.0,0.23,0.47,0.28,0
Aurora Soundwave,382564067.0,3008758.0,K-Pop,1992.0,57.99999999999999,95.0,0.8999999999999999,86.0,0.79,0.52,0.89,1
The Midnight Howl,567672358.0,911654.0000000001,Folk,2025.0,6.0,11.0,0.25,61.0,0.82,0.34,0.73,1
Retro Resonance,630487421.0,2765117.9999999995,Reggae,2003.0,33.0,64.0,0.69,27.0,0.7,0.51,0.22,0
ElectroPulse,53899930.0,3608257.0,Metal,2020.0,100.0,9.0,0.5800000000000001,89.0,0.23,0.8,0.8,0
Ava & The Ocean,268701498.0,4640127.0,Latin,1992.0,68.0,68.0,0.08000000000000007,74.0,0.3,0.18,0.82,0
Jay Zenith,99316571.0,442004.0,Rock,2015.0,16.0,29.0,-0.95,34.0,0.9400000000000001,0.08,0.36,0
Jay Zenith,191549391.0,2865847.9999999995,Folk,2009.9999999999998,8.0,79.0,0.16999999999999993,67.0,0.53,0.18,0.99,1
Samantha Lee,605568831.0,2665687.0,Folk,2007.0,18.0,61.0,-0.51,57.99999999999999,0.25,0.56,0.15,1
Ava & The Ocean,107011310.0,2617779.0,Indie,2013.0,34.0,18.0,0.6499999999999999,33.0,0.27,0.49,0.53,1
Crimson Echo,142439061.0,1783051.0,Lo-Fi,2001.0,51.00000000000001,81.0,-0.81,67.0,0.2,0.52,0.55,0
Celestial Harmony,708224187.0,4217549.0,Latin,2015.0,37.0,83.0,0.8500000000000001,54.0,0.76,0.0,0.34,0
Bass Surge,768249347.0,1283411.0,Pop,2004.0,27.0,41.0,0.55,10.0,0.38,0.25,0.52,0
Crimson Echo,451123048.0,546622.0,Reggae,2006.0,76.0,28.000000000000004,-0.82,58.99999999999999,0.66,0.51,0.81,0
Crimson Echo,622241805.0,2086154.0,Blues,2016.0,82.0,96.0,0.25,24.0,0.74,0.82,0.12,1
Retro Resonance,353749348.0,1129602.0,Blues,2001.0,91.0,2.0,0.8599999999999999,17.0,0.57,0.7,0.13,1
DJ Thunder,717446254.0,246855.0,Drum & Bass,1991.0,60.0,78.0,-0.22999999999999998,98.0,0.54,0.39,0.6,1
EchoSync,559044513.0,3754720.0,Electronic,1992.0,52.0,69.0,0.72,46.0,0.9699999999999999,0.28,0.21,1
Liam Harper,175528395.0,2187325.0,Punk,2018.0,65.0,95.0,-0.15000000000000002,96.0,0.62,0.45,0.63,0
Neon Vortex,220106082.99999997,4042846.0,Punk,1991.0,9.0,89.0,-0.52,16.0,0.65,0.86,0.58,0
The Midnight Howl,181832422.0,4718665.0,Lo-Fi,2017.0,32.0,100.0,-0.74,40.0,0.55,0.89,0.9699999999999999,0
Bass Surge,275570716.0,384583.0,Hip-Hop,2009.0,19.0,96.0,0.32000000000000006,68.0,0.5,0.35,1.0,1
Shadow Beats,427751385.0,3111707.0,Punk,1991.0,7.000000000000001,28.000000000000004,0.21999999999999997,37.0,0.25,0.67,0.67,0
Crimson Echo,455890471.0,2207545.0,Drum & Bass,2023.0,77.0,78.0,-0.17000000000000004,1.0,0.51,0.66,0.89,1
Retro Resonance,426339518.0,3706498.0,Trap,1996.0,74.0,74.0,-0.050000000000000044,41.0,0.8999999999999999,0.88,0.96,0
EchoSync,579978456.0,4681728.0,Country,2025.0,98.0,23.0,-0.92,82.0,0.8,0.55,0.44,1
Luna Nova,706611245.0,2977809.0,R&B,1992.0,21.0,26.0,0.8700000000000001,57.00000000000001,0.46,0.79,0.69,0
Samantha Lee,505992883.99999994,4588573.0,Drum & Bass,2009.0,89.0,9.999999999999998,-0.73,19.0,0.87,0.45,0.12,1
DJ Thunder,107936294.0,828897.9999999999,R&B,1995.0,81.0,22.0,0.52,80.0,0.82,0.94,0.9800000000000001,0
Retro Resonance,713792063.0,4777497.0,Country,2004.0,52.99999999999999,50.0,-0.99,7.000000000000001,0.8,0.97,0.62,1
Urban Rhapsody,502440014.0,2208700.0,Trap,2018.0,54.0,17.0,0.020000000000000018,63.0,0.51,0.46,0.38,0
Firefly Symphony,540881590.0,3255273.0,Country,2007.0,88.0,23.0,-0.62,40.0,0.69,0.69,0.34,1
Urban Rhapsody,504741326.00000006,2833957.0,Metal,1995.0,18.0,21.0,0.040000000000000036,0.0,0.49000000000000005,0.16,0.72,0
Celestial Harmony,5048553.0,1251144.0,R&B,2004.0,44.0,44.0,-0.09999999999999998,96.0,0.65,0.97,0.17,0
Retro Resonance,310929612.0,232465.99999999997,Rock,2006.0,13.0,53.00000000000001,-0.89,55.0,0.4,0.01,0.88,0
Luna Nova,566244026.0,372171.0,Trap,1994.0,74.0,20.0,0.26,39.0,0.27,0.69,0.79,0
Samantha Lee,317581906.0,2403023.0,Rock,1995.0,12.0,17.0,0.76,14.000000000000002,0.65,0.23,0.17,0
ElectroPulse,479538168.99999994,2555515.0000000005,Drum & Bass,2009.0,22.0,72.0,0.97,28.999999999999996,0.19,0.91,0.86,1
Sofia Carter,519857108.0,3005306.0,House,2004.0,55.0,92.0,0.7,60.0,0.47000000000000003,0.23,0.3,1
Crimson Echo,109492219.0,1965669.9999999998,Reggae,2014.0000000000002,97.0,7.000000000000001,0.29000000000000004,95.0,0.87,0.87,0.58,0
Firefly Symphony,372259069.0,2285286.0,Pop,2000.0,12.0,77.0,-0.93,25.0,0.68,0.87,0.25,0
Luna Nova,117918459.0,3085583.0,Pop,2019.0,44.0,8.0,0.1499999999999999,12.0,0.81,0.01,0.86,0
Urban Rhapsody,409682711.0,1363344.0,Rock,1990.0,9.0,93.0,-0.7,94.0,0.19,0.11,0.41,0
Samantha Lee,633354864.0,1418724.0,Indie,2006.0,37.0,66.0,-0.59,15.0,0.81,0.91,0.4,1
Jay Zenith,607631735.0,4773790.0,Electronic,1993.0,97.0,74.0,0.45999999999999996,67.0,0.32,0.74,0.19,1
DJ Thunder,7578146.0,2739658.0,Synthwave,2022.0,95.0,19.0,0.5,35.0,0.6,0.05,0.92,0
Bass Surge,344678849.0,4165600.0,Blues,1994.0,72.0,43.0,0.22999999999999998,90.0,0.93,0.92,0.8,1
Retro Resonance,585644056.0,1390819.0,Jazz,2015.0,41.0,58.0,-0.09999999999999998,45.0,0.14,0.93,0.83,1
Liam Harper,394763845.0,4874584.0,House,1998.0,59.0,19.0,0.9199999999999999,58.99999999999999,0.79,0.4,0.79,1
DJ Thunder,456097359.00000006,4421013.0,House,1998.0,39.0,96.0,-0.86,19.0,0.31,0.76,0.67,1
Neon Vortex,737077914.0,476456.0,Pop,2013.0,88.0,7.000000000000001,-0.010000000000000009,20.0,0.55,0.53,0.74,0
Celestial Harmony,524401678.0,724653.0,Blues,2017.0,65.0,15.0,0.5,69.0,0.83,0.8,0.69,1
Ava & The Ocean,449090469.99999994,625215.9999999999,Electronic,2011.0,100.0,92.0,-0.92,31.0,0.5,0.65,0.59,1
Liam Harper,517082638.0,2559586.0,Synthwave,2011.0,72.0,27.0,-0.3400000000000001,62.0,0.29,0.09,0.17,0
Samantha Lee,253449446.0,4071227.0,Jazz,2002.0,59.0,82.0,0.32000000000000006,74.0,0.36,0.89,0.64,1
Bass Surge,421070154.0,440013.0,R&B,2018.0,28.999999999999996,30.0,0.3700000000000001,52.0,0.32,0.85,0.49000000000000005,0
Neon Vortex,159951679.0,2556369.0,Indie,1993.0,73.0,90.0,0.6699999999999999,45.0,0.62,0.87,0.75,1
Samantha Lee,397166471.0,929196.0,Metal,2008.0,87.0,30.999999999999996,0.31000000000000005,87.0,0.83,0.32,0.87,0
Luna Nova,275562707.0,4946967.0,Metal,2016.0,4.0,4.0,0.21999999999999997,67.0,0.58,0.93,0.48,0
Jay Zenith,737727809.0,995895.0,R&B,2013.0,42.0,68.0,-0.6,40.0,0.57,0.11,0.24,0
Retro Resonance,107521548.0,1604124.0,R&B,2022.0,18.0,73.0,-0.45999999999999996,89.0,0.14,0.34,0.54,0
EchoSync,552775708.0,2797263.0000000005,K-Pop,1993.0,68.0,91.0,-0.79,75.0,0.64,0.43,0.93,1
Firefly Symphony,683681231.0,1399154.0,Techno,1990.0,21.0,57.0,0.30000000000000004,28.999999999999996,0.87,0.68,0.11,0
Crimson Echo,650871626.0,2854251.0,Drum & Bass,2008.0,97.0,87.0,0.6299999999999999,41.0,0.65,0.82,0.9699999999999999,1
ElectroPulse,42220838.0,3333626.9999999995,K-Pop,2016.0,37.0,55.0,-0.06000000000000005,60.0,0.29,0.23,0.54,1
Ava & The Ocean,10561839.0,3733120.0,Punk,2005.0,46.0,36.0,0.050000000000000044,10.0,0.68,0.47,0.35,0
Shadow Beats,116055843.0,1403392.0,Blues,1999.0,34.0,7.000000000000001,-0.99,25.0,0.9400000000000001,0.59,0.27,1
Celestial Harmony,661382888.0,4280505.0,Country,2009.0,76.0,81.0,-0.85,63.0,0.11,0.8,0.68,1
Ava & The Ocean,701984706.0,4637423.0,House,2000.0,86.0,6.0,-0.9,57.99999999999999,0.65,0.79,0.22,1
Sofia Carter,537181054.0,456684.0,Lo-Fi,2009.9999999999998,6.0,67.0,0.1499999999999999,63.0,0.82,0.85,0.33,0
Bass Surge,235986957.0,794788.9999999999,Synthwave,2000.0,56.00000000000001,6.0,0.33000000000000007,70.0,0.92,0.26,0.6,0
Luna Nova,44740661.0,3425535.0,Techno,2009.0,81.0,85.0,-0.09999999999999998,71.0,0.78,0.24,0.28,0
Crimson Echo,503496925.0,4374313.0,Drum & Bass,2013.0,59.0,55.0,-0.51,44.0,0.8,0.96,0.33,1
Ava & The Ocean,8397262.0,3620464.0,House,2015.0,82.0,2.0,-0.22999999999999998,65.0,0.34,0.81,0.17,1
The Midnight Howl,560388783.0,4576108.0,Drum & Bass,2023.0,90.0,101.0,-0.37,27.0,0.36,0.49,0.47000000000000003,1
Firefly Symphony,409570888.99999994,2773502.0,Blues,2011.9999999999998,89.0,52.0,0.6000000000000001,98.0,0.6,0.52,0.8,1
Samantha Lee,541897509.0,1609734.0,Rock,1990.0,84.0,23.0,-0.73,80.0,0.37,0.41,0.76,0
Shadow Beats,617346319.0,4572062.0,Trap,2001.0,12.0,66.0,0.53,86.0,0.17,0.66,0.18,0
Shadow Beats,151341652.0,4154907.0,R&B,2013.0,83.0,23.0,-0.74,26.0,0.78,0.65,0.3,0
Samantha Lee,429694074.0,4872223.0,Lo-Fi,2009.9999999999998,71.0,3.0,0.08000000000000007,71.0,0.67,0.09,0.46,0
The Midnight Howl,326901784.0,335542.0,R&B,2019.0,9.0,44.0,0.75,45.0,0.85,0.11,0.5,0
Retro Resonance,482619512.0,4724314.0,Drum & Bass,2011.9999999999998,84.0,55.0,0.76,71.0,0.12,0.98,0.66,1
EchoSync,579387828.0,3564755.0,K-Pop,2014.0000000000002,74.0,1.0,0.95,26.0,0.71,0.47,0.27,1
The Midnight Howl,173829800.0,4614708.0,Trap,1998.0,94.0,35.0,-0.43999999999999995,15.0,0.43,0.12,0.81,0
Jay Zenith,237232519.99999997,2058889.0,House,2021.0,91.0,41.0,-0.14,64.0,0.61,0.01,0.55,1
Bass Surge,9766293.0,1706008.0,EDM,2011.0,15.0,91.0,-0.98,55.0,0.93,0.49,0.35,1
Horizon Flow,501954356.00000006,4721158.0,Blues,2007.0,91.0,46.0,0.71,57.00000000000001,0.21,0.62,0.44999999999999996,1
Bass Surge,600094424.0,4807662.0,R&B,1997.0,7.000000000000001,58.99999999999999,0.3999999999999999,11.0,0.88,0.5,0.9100000000000001,0
Sofia Carter,511266398.0,1936786.0,K-Pop,1998.0,54.0,26.0,0.6499999999999999,47.0,0.28,0.21,0.64,1
Ava & The Ocean,55409488.0,4972878.0,Reggae,1992.0,98.99999999999999,28.000000000000004,0.06000000000000005,25.0,0.41,0.24,0.29,0
Crimson Echo,146001197.0,4771002.0,Lo-Fi,2025.0,87.0,1.0,-0.82,58.99999999999999,0.29,0.19,0.26,0
Horizon Flow,349641552.0,2458823.0,Trap,2011.0,8.0,58.0,-0.97,8.0,0.88,0.3,0.79,0
The Midnight Howl,251708841.0,3018200.0000000005,Electronic,1994.0,38.0,75.0,-0.78,47.0,0.69,0.04,0.61,1
Bass Surge,246262627.00000003,2103628.0,Techno,2023.0,20.0,21.0,0.030000000000000027,52.0,0.9100000000000001,0.36,0.72,0
Samantha Lee,738988501.0,3533033.0,Blues,1994.0,83.0,85.0,-0.95,44.0,0.26,0.45,0.57,1
Urban Rhapsody,712222517.0,901242.0,Techno,2013.0,30.0,86.0,0.3700000000000001,100.0,0.9800000000000001,0.08,0.9699999999999999,0
Liam Harper,202674037.0,4601579.0,Jazz,2003.0,14.000000000000002,14.000000000000002,0.76,19.0,0.38,0.52,0.13,1
ElectroPulse,142545522.0,2245700.0,Country,2016.0,44.0,49.0,0.56,69.0,0.95,0.72,0.74,1
Jay Zenith,726700207.0,1609533.0,Electronic,2005.0,14.000000000000002,9.0,0.6600000000000001,72.0,0.51,0.71,0.65,1
Urban Rhapsody,516741685.00000006,2800703.0,Latin,1997.0,35.0,48.0,0.1299999999999999,75.0,0.62,0.17,0.25,0
Horizon Flow,349035963.0,3875398.0,Rock,2003.0,73.0,83.0,-0.78,31.0,0.13,0.82,0.36,0
Crimson Echo,618531147.0,4954243.0,Country,2018.0,51.00000000000001,95.0,-0.47,72.0,0.78,0.67,0.92,1
Crimson Echo,287589360.0,782187.0000000001,Folk,1993.0,77.0,52.0,0.3599999999999999,77.0,0.86,0.37,0.83,1
Horizon Flow,606779980.0,2558760.0,Folk,2017.0,89.0,21.0,-0.010000000000000009,33.0,0.22,0.52,0.35,1
Urban Rhapsody,472390954.00000006,1357879.9999999998,K-Pop,1993.0,28.000000000000004,13.0,-0.63,40.0,0.33,0.41,0.44,1
Ava & The Ocean,266085512.99999997,3935044.0,Reggae,2024.0,73.0,53.00000000000001,-0.75,78.0,0.64,0.27,0.46,0
Aurora Soundwave,11986511.0,3395005.0,R&B,1993.0,25.0,80.0,0.99,3.0,0.78,0.5,0.52,0
Ava & The Ocean,762586354.0,4394603.0,Jazz,2018.0,35.0,2.0,0.94,33.0,0.7,0.49,0.96,1
Liam Harper,714217337.0,1708120.0,Rock,1997.0,49.0,65.0,-0.41999999999999993,67.0,0.65,0.52,0.55,0
Retro Resonance,196647248.0,1529405.0,Synthwave,2018.0,25.0,86.0,-0.5,28.000000000000004,0.32,0.98,0.18,0
Firefly Symphony,174789718.0,1676054.0,Indie,2004.0,74.0,13.0,0.4099999999999999,97.0,0.88,0.52,0.75,1
Shadow Beats,710692837.0,2566601.0,Indie,2009.9999999999998,89.0,58.99999999999999,0.74,39.0,0.64,0.14,0.5,1
Jay Zenith,196685026.0,3138809.0,House,2019.0,10.0,65.0,0.28,52.0,0.54,0.59,0.28,1
Crimson Echo,110960973.0,3753870.0,Synthwave,2022.0,7.000000000000001,23.0,0.3900000000000001,33.0,0.7,0.88,0.58,0
ElectroPulse,719731641.0,131647.00000000003,Pop,2000.0,16.0,30.999999999999996,0.07000000000000006,38.0,0.72,0.31,0.7,0
Urban Rhapsody,182370266.0,1581587.0,R&B,2013.0,16.0,16.0,-0.55,28.999999999999996,0.5,0.23,0.82,0
Crimson Echo,286257528.0,3203589.0,Jazz,1993.0,13.0,23.0,-0.77,66.0,0.65,0.66,0.95,1
Neon Vortex,14511636.0,2106941.0,Blues,1993.0,3.0,50.0,-0.69,21.0,0.33,0.79,0.61,1
Liam Harper,255693293.0,4394911.0,Latin,1993.0,31.0,57.0,-0.53,99.0,0.14,0.94,0.31,0
Samantha Lee,394746040.0,1639147.0,Drum & Bass,1991.0,86.0,26.0,0.8599999999999999,40.0,0.73,0.14,0.14,1
Aurora Soundwave,340905376.0,11580.0,Rock,2005.0,72.0,21.0,0.8199999999999998,6.0,0.28,0.49,0.2,0
Jay Zenith,60970319.00000001,3775918.0,Latin,1999.0,22.0,36.0,-0.050000000000000044,51.0,0.49000000000000005,0.35,0.61,0
Jay Zenith,47641628.0,381279.0,Trap,2003.0,22.0,5.0,0.1100000000000001,31.0,0.9400000000000001,0.59,0.79,0
Jay Zenith,573053546.0,4510430.0,Latin,2022.0,91.0,25.0,0.30000000000000004,57.99999999999999,0.24,0.83,0.74,0
Horizon Flow,22273962.0,2510510.0,Punk,1990.0,81.0,16.0,-0.47,14.000000000000002,0.55,0.91,0.67,0
Aurora Soundwave,195997593.0,836690.0,EDM,2009.9999999999998,57.0,19.0,0.9199999999999999,25.0,0.4,0.84,0.31,1
Crimson Echo,208922312.0,2817180.9999999995,Synthwave,2007.0,71.0,30.0,0.77,96.0,0.22,0.67,0.35,0
Retro Resonance,770466333.0,3937738.0,Reggae,2007.0,38.0,22.0,0.53,28.000000000000004,0.19,0.85,0.56,0
Retro Resonance,490572077.00000006,3170454.0,Latin,2003.0,84.0,13.0,-0.36,28.000000000000004,0.81,0.71,0.7,0
Neon Vortex,456593784.0,4285480.0,Techno,2022.0,38.0,30.0,-0.4,33.0,0.8999999999999999,0.04,0.68,0
Samantha Lee,198262659.0,3367676.0,Indie,2023.0,80.0,58.99999999999999,-0.59,33.0,0.19,0.14,0.85,1
Liam Harper,397394312.0,2466097.0,Pop,1999.0,47.0,50.0,0.3500000000000001,78.0,0.74,0.04,0.2,0
Aurora Soundwave,574828162.0,4265239.0,Techno,2020.0,95.0,86.0,0.95,33.0,0.5,0.83,0.29,0
Ava & The Ocean,179507568.0,336297.99999999994,R&B,2025.0,17.0,72.0,0.6299999999999999,17.0,0.84,0.15,0.31,0
Bass Surge,399641883.00000006,2318505.0,Folk,2022.0,69.0,79.0,0.53,39.0,0.15,0.94,0.9100000000000001,1
Luna Nova,185687849.0,2390380.0,Country,1994.0,91.0,83.0,-0.030000000000000027,70.0,0.78,0.49,0.44999999999999996,1
Aurora Soundwave,642799200.0,1537423.9999999998,Indie,2017.0,36.0,99.0,0.51,3.0,0.37,0.86,0.99,1
Celestial Harmony,784617665.0,978978.0,Indie,2013.0,91.0,82.0,-0.47,65.0,0.81,0.98,0.72,1
Retro Resonance,644067942.0,260675.0,Rock,2023.0,17.0,71.0,0.5,90.0,0.36,0.08,0.16,0
Samantha Lee,313486545.0,3177628.0,Trap,1994.0,40.0,64.0,0.98,85.0,0.66,0.57,0.81,0
Shadow Beats,30367206.0,550094.0,Country,2005.0,59.0,61.99999999999999,0.8399999999999999,62.0,0.53,0.91,0.43,1
Retro Resonance,420946047.0,386509.0,Hip-Hop,2021.0,80.0,57.0,-0.64,64.0,0.61,0.56,0.47000000000000003,1
Jay Zenith,712393762.0,1398718.0,Pop,2020.0,98.0,77.0,-0.8,6.0,0.75,0.91,0.9699999999999999,0
ElectroPulse,287904441.0,3858381.0,Lo-Fi,2009.0,45.0,46.0,0.33000000000000007,46.0,0.9699999999999999,0.54,0.18,0
Ava & The Ocean,504836288.99999994,2004568.0,Pop,1990.0,47.0,11.0,-0.18999999999999995,77.0,0.4,0.34,0.51,0
The Midnight Howl,145445480.0,4471493.0,K-Pop,1996.0,11.0,88.0,0.98,93.0,0.64,0.25,0.36,1
Aurora Soundwave,729258595.0,4543881.0,Blues,2008.0,28.000000000000004,84.0,0.74,97.0,0.25,0.07,0.5,1
Luna Nova,153318858.0,1957710.0,Reggae,2009.9999999999998,64.0,28.000000000000004,0.8199999999999998,81.0,0.54,0.17,0.76,0
Ava & The Ocean,623916389.0,2964988.0000000005,Drum & Bass,1996.0,52.99999999999999,48.0,-0.71,8.0,0.34,0.42,0.34,1
Neon Vortex,584138374.0,149299.0,Hip-Hop,2025.0,9.0,96.0,0.8399999999999999,45.0,0.6,0.73,0.9800000000000001,1
The Midnight Howl,783800461.0,2553611.0,Blues,2016.0,4.0,33.0,-0.59,5.0,0.12,0.92,0.18,1
Neon Vortex,87152805.0,2180480.0,Hip-Hop,2002.0,36.0,88.0,0.25,97.0,0.77,0.03,0.1,1
Aurora Soundwave,115769593.00000001,3418972.0,Rock,2019.0,56.00000000000001,61.99999999999999,-0.24,30.0,0.37,0.54,0.89,0
The Midnight Howl,714517617.0,210064.0,K-Pop,1991.0,25.0,65.0,0.6099999999999999,47.0,0.34,0.65,0.1,1
The Midnight Howl,153173060.0,2982621.0,K-Pop,1995.0,52.0,65.0,0.0,45.0,0.14,0.96,0.95,1
Shadow Beats,144063824.0,3343844.0,K-Pop,2006.0,91.0,38.0,-0.42999999999999994,97.0,0.57,0.64,0.2,1
Firefly Symphony,139587848.0,1874937.0,Lo-Fi,1995.0,42.0,21.0,-0.6,57.00000000000001,0.55,0.19,0.5,0
Aurora Soundwave,464953085.0,280068.0,Hip-Hop,2023.0,14.000000000000002,14.000000000000002,-0.98,57.00000000000001,0.92,0.19,0.16,1
Ava & The Ocean,519982924.0,579527.0,Synthwave,2014.0000000000002,68.0,48.0,0.5899999999999999,28.999999999999996,0.8,0.4,0.1,0
EchoSync,111306987.99999999,4198141.0,Reggae,2025.0,38.0,48.0,0.96,51.0,0.11,0.16,0.9800000000000001,0
Firefly Symphony,4878346.0,1882007.9999999998,Pop,2025.0,45.0,21.0,-0.6,90.0,0.82,0.53,0.93,0
Aurora Soundwave,593433945.0,3081966.9999999995,Electronic,2015.0,91.0,42.0,-0.9,75.0,0.36,0.46,0.63,1
Urban Rhapsody,432494197.0,764229.0,Hip-Hop,2015.0,23.0,93.0,-0.14,45.0,0.13,0.88,0.31,1
ElectroPulse,728347817.0,4809192.0,Reggae,2021.0,87.0,102.0,0.98,65.0,0.78,0.06,0.39,0
Horizon Flow,724302111.0,2165072.0,Country,2013.0,40.0,18.0,0.6000000000000001,72.0,0.17,0.09,0.95,1
Sofia Carter,737266956.0,1004757.9999999999,Reggae,1998.0,74.0,20.0,0.32000000000000006,80.0,0.44,0.39,0.17,0
EchoSync,158697685.0,3668861.0,Electronic,2011.9999999999998,36.0,32.0,0.8399999999999999,47.0,0.77,0.76,0.93,1
Urban Rhapsody,105570374.0,1819877.9999999998,Reggae,2013.0,57.0,76.0,-0.59,40.0,0.34,0.7,0.82,0
Horizon Flow,327522032.0,750737.0,Lo-Fi,2025.0,30.0,49.0,-0.92,41.0,0.67,0.81,0.72,0
Aurora Soundwave,97649545.0,1235370.0,K-Pop,2011.0,65.0,96.0,0.6400000000000001,1.0,0.89,0.81,0.36,1
The Midnight Howl,112264832.0,945827.0000000001,Pop,2003.0,35.0,17.0,-0.52,72.0,0.86,0.66,0.23,0
Liam Harper,715474319.0,2990568.0,Synthwave,1995.0,16.0,38.0,-0.63,71.0,0.9400000000000001,0.27,0.42,0
Urban Rhapsody,128446047.99999999,1169773.0,Indie,2025.0,49.0,32.0,-0.18999999999999995,93.0,0.33,0.35,0.51,1
EchoSync,679696220.0,2481584.0,Jazz,2015.0,3.0,101.0,0.51,96.0,0.41,0.94,0.52,1
Ava & The Ocean,695845836.0,4086231.0,Blues,2014.0000000000002,49.0,23.0,-0.67,9.0,0.9400000000000001,0.65,0.84,1
